row_id,table_number,table_title,combined_group,citation_display,reference_number,input_title,matched_title,resolved_doi,resolved_url,source_api,resolution_method,confidence,publisher,journal_name,open_access_pdf_url
1,3,"Overview of included studies on health statue utility values","EQ-5D / Global / CheckMate 436","Zinzani 2019 [45]",45,"Nivolumab combined with brentuximab vedotin for relapsed/refractory primary mediastinal large B-cell lymphoma: efficacy and safety from the phase II CheckMate 436 study","Nivolumab combined with brentuximab vedotin for relapsed/refractory primary mediastinal large B-cell lymphoma: efficacy and safety from the phase II CheckMate 436 study",10.1200/jco.19.01492,https://doi.org/10.1200/jco.19.01492,review_bibliography,bibliography_reference_number+broader_search,high,"American Society of Clinical Oncology (ASCO)","Journal of Clinical Oncology",
2,3,"Overview of included studies on health statue utility values","EQ-5D / Global / SADAL","Shah 2021 [38]",38,"Health-related quality of life and utility outcomes with selinexor in relapsed/refractory diffuse large B-cell lymphoma","Health-related quality of life and utility outcomes with selinexor in relapsed/refractory diffuse large B-cell lymphoma",,,review_bibliography,bibliography_reference_number,high,"Future Oncol","Health-related qual- ity of life and utility outcomes with selinexor in relapsed/ refractory diffuse large B-cell lymphoma",
3,3,"Overview of included studies on health statue utility values","EQ-5D / Global / SADAL","Casasnovas 2020 [69]",69,"PCN325 Health utility in relapsed/refractory diffuse large B-cell lymphoma (RR-DLBCL) patients—results of a phase II trial with ORAL selinexor","PCN325 Health utility in relapsed/refractory diffuse large B-cell lymphoma (RR-DLBCL) patients—results of a phase II trial with ORAL selinexor",10.1684/hma.2020.1600,https://doi.org/10.1684/hma.2020.1600,review_bibliography,bibliography_reference_number+broader_search,high,JLE,Hématologie,https://www.jle.com/download/hma-319112-48182-etude_sadal_le_selinexor_la_solution_orale_sans_chimiotherapie_pour_le_lymphome_b_diffus_a_grandes_cellules_-a.pdf
4,3,"Overview of included studies on health statue utility values","EQ-5D / Global / ZUMA-1","Lin 2019 [42]",42,"P889 Health utilities for patients with relapsed or refractory large B-cell lymphoma (R/R-LBCL): ad hoc analysis from an axicabtagene ciloleucel (axi-cel) safety management study","P889 Health utilities for patients with relapsed or refractory large B-cell lymphoma (R/R-LBCL): ad hoc analysis from an axicabtagene ciloleucel (axi-cel) safety management study",,,review_bibliography,bibliography_reference_number,high,"Bone Marrow Transplant","P889 Health utilities for patients with relapsed or refractory large B-cell lymphoma (R/R-LBCL): ad hoc analysis from an axicabta- gene ciloleucel (axi-cel) safety management study",
5,3,"Overview of included studies on health statue utility values","EQ-5D / Global / ZUMA-1","ClinicalTrials.gov [70]",70,"Study evaluating the safety and efficacy of KTE-C19 in adult participants with refractory aggressive non-Hodgkin lymphoma (ZUMA-1 (NCT02348216)","Study evaluating the safety and efficacy of KTE-C19 in adult participants with refractory aggressive non-Hodgkin lymphoma (ZUMA-1 (NCT02348216)",,https://clinicaltrials.gov/ct2/show/NCT02348216,review_bibliography,bibliography_reference_number,high,ClinicalTrials,,
6,3,"Overview of included studies on health statue utility values","EQ-5D / US / TRANSCEND NHL 001","Patrick 2021 [17]",17,"Effect of lisocabtagene maraleucel on HRQoL and symptom severity in relapsed/refractory large B-cell lymphoma","Effect of lisocabtagene maraleucel on HRQoL and symptom severity in relapsed/refractory large B-cell lymphoma",10.1182/bloodadvances.2020003531,https://doi.org/10.1182/bloodadvances.2020003531,review_bibliography,bibliography_reference_number+broader_search,high,"American Society of Hematology","Blood Advances",
7,3,"Overview of included studies on health statue utility values","EQ-5D / US / TRANSCEND NHL 001","Patrick 2020 [37]",37,"Impact of lisocabtagene maraleucel (liso-cel) treatment on health-related quality of life and health utility in patients with relapsed/refractory aggressive B-cell non-Hodgkin lymphoma: TRANSCEND NHL 001 (NCT02631044)","Impact of lisocabtagene maraleucel (liso-cel) treatment on health-related quality of life and health utility in patients with relapsed/refractory aggressive B-cell non-Hodgkin lymphoma: TRANSCEND NHL 001 (NCT02631044)",10.1182/blood-2020-141415,https://doi.org/10.1182/blood-2020-141415,review_bibliography,bibliography_reference_number+broader_search,high,"American Society of Hematology",Blood,
8,3,"Overview of included studies on health statue utility values","EQ-5D / US / TRANSCEND NHL 001","Patrick 2019 [35]",35,"PCN262 preference-weighted health status in patients with relapsed/refractory diffuse large B-cell lymphoma (R/R DLBCL) treated with lisocabtagene maraleucel (liso-cel; JCAR017) in the ongoing, multicenter, phase 1 TRANSCEND NHL 001 trial","PCN262 preference-weighted health status in patients with relapsed/refractory diffuse large B-cell lymphoma (R/R DLBCL) treated with lisocabtagene maraleucel (liso-cel; JCAR017) in the ongoing, multicenter, phase 1 TRANSCEND NHL 001 trial",10.1016/j.jval.2019.04.383,https://doi.org/10.1016/j.jval.2019.04.383,review_bibliography,bibliography_reference_number+broader_search,high,"Elsevier BV","Value in Health",
9,3,"Overview of included studies on health statue utility values","EQ-5D / US / TRANSCEND NHL 001","Patrick 2019 [36]",36,"Impact of lisocabtagene maraleucel (liso-cel) treatment on health-related quality of life and health utility in patients (pts) with relapsed/refractory (R/R) 189 A Review of HRQOL and Utilities in R/R LBCL aggressive B cell non-Hodgkin lymphoma (NHL): Transcend NHL 001","Impact of lisocabtagene maraleucel (liso-cel) treatment on health-related quality of life and health utility in patients (pts) with relapsed/refractory (R/R) 189 A Review of HRQOL and Utilities in R/R LBCL aggressive B cell non-Hodgkin lymphoma (NHL): Transcend NHL 001",10.1182/blood-2019-127145,https://doi.org/10.1182/blood-2019-127145,review_bibliography,bibliography_reference_number+broader_search,high,"American Society of Hematology",Blood,
10,3,"Overview of included studies on health statue utility values","EQ-5D / NR / Naratuximab emtansine + rituximab phase 2","Orfanos 2022 [46]",46,"POSC370 Health-related quality of life of naratuximab emtasine + rituximab (N+R) in second line and heavily pre-treated patients with relapsed/refractory (R/R) diffuse large B-cell lymphoma (DLBCL): an analysis of the Functional Assessment of Cancer Therapy Lymphoma (FACT- LYM) measure and mapped EQ-5D values from a phase II trial","POSC370 Health-related quality of life of naratuximab emtasine + rituximab (N+R) in second line and heavily pre-treated patients with relapsed/refractory (R/R) diffuse large B-cell lymphoma (DLBCL): an analysis of the Functional Assessment of Cancer Therapy Lymphoma (FACT- LYM) measure and mapped EQ-5D values from a phase II trial",10.1016/j.jval.2021.11.1195,https://doi.org/10.1016/j.jval.2021.11.1195,review_bibliography,bibliography_reference_number+broader_search,high,"Elsevier BV","Value in Health",
