row_id,table_number,table_title,combined_group,citation_display,reference_number,input_title,matched_title,resolved_doi,resolved_url,source_api,resolution_method,confidence,publisher,journal_name,open_access_pdf_url
1,2,Overview of included studies on HRQOL measures,FACT-G / JULIET,Maziarz 2020 [19],19,Patient-reported longterm quality of life after tisagenlecleucel in relapsed/refractory diffuse large B-cell lymphoma,Patient-reported longterm quality of life after tisagenlecleucel in relapsed/refractory diffuse large B-cell lymphoma,10.1182/bloodadvances.2019001026,https://doi.org/10.1182/bloodadvances.2019001026,review_bibliography,bibliography_reference_number+title_author_search,high,American Society of Hematology,Blood Advances,
2,2,Overview of included studies on HRQOL measures,FACT-G / JULIET,Tam 2019 [67],67,Prolonged improvement in patient reported quality of life (QoL) following tisagenlecleucel infusion in adult patients (pts) with relapsed/refractory (r/r) diffuse 190 F,Prolonged improvement in patient reported quality of life (QoL) following tisagenlecleucel infusion in adult patients (pts) with relapsed/refractory (r/r) diffuse 190 F,10.1016/j.bbmt.2018.12.326,https://doi.org/10.1016/j.bbmt.2018.12.326,review_bibliography,bibliography_reference_number+title_author_search,high,Elsevier BV,Biology of Blood and Marrow Transplantation,
3,2,Overview of included studies on HRQOL measures,FACT-G / JULIET,Maziarz 2017 [68],68,Patient-reported quality of life (QoL) following CTL019 infusion in adult patients (pts) with relapsed/refractory (r/r) diffuse large B-cell lymphoma (DLBCL),Patient-reported quality of life (QoL) following CTL019 infusion in adult patients (pts) with relapsed/refractory (r/r) diffuse large B-cell lymphoma (DLBCL),10.1016/j.bbmt.2018.12.326,https://doi.org/10.1016/j.bbmt.2018.12.326,review_bibliography,bibliography_reference_number+title_author_search,high,Elsevier BV,Biology of Blood and Marrow Transplantation,
4,2,Overview of included studies on HRQOL measures,FACT-G / ORCHARRD,ClinicalTrials.gov [39],39,Ofatumumab versus rituximab salvage chemoimmunotherapy followed by autologous stem cell transplant in relapsed or refractory diffuse large B cell lymphoma (ORCHARRD) (NCT01014208),Ofatumumab versus rituximab salvage chemoimmunotherapy followed by autologous stem cell transplant in relapsed or refractory diffuse large B cell lymphoma (ORCHARRD) (NCT01014208),,https://clinicaltrials.gov/ct2/show/NCT01014208,review_bibliography,bibliography_reference_number,high,ClinicalTrials,,
5,2,Overview of included studies on HRQOL measures,FACT-G / SADAL,Shah 2021 [38],38,Health-related quality of life and utility outcomes with selinexor in relapsed/refractory diffuse large B-cell lymphoma,Health-related quality of life and utility outcomes with selinexor in relapsed/refractory diffuse large B-cell lymphoma,10.2217/fon-2020-0946,https://doi.org/10.2217/fon-2020-0946,review_bibliography,bibliography_reference_number+title_author_search,high,Informa UK Limited,Future Oncology,
6,2,Overview of included studies on HRQOL measures,FACT-G / SADAL,Casasnovas 2020 [69],69,PCN325 Health utility in relapsed/refractory diffuse large B-cell lymphoma (RR-DLBCL) patients-results of a phase II trial with ORAL selinexor,PCN325 Health utility in relapsed/refractory diffuse large B-cell lymphoma (RR-DLBCL) patients-results of a phase II trial with ORAL selinexor,10.1016/j.jval.2020.08.462,https://doi.org/10.1016/j.jval.2020.08.462,review_bibliography,bibliography_reference_number+title_author_search,high,Elsevier BV,Value in Health,
7,2,Overview of included studies on HRQOL measures,FACT-G / NCT00667615,Straus 2015 [40],40,"Phase I/II trial of vorinostat with rituximab, cyclophosphamide, etoposide and prednisone as palliative treatment for elderly patients with relapsed or refractory diffuse large B-cell lymphoma not eligible for autologous stem cell transplantation","Phase I/II trial of vorinostat with rituximab, cyclophosphamide, etoposide and prednisone as palliative treatment for elderly patients with relapsed or refractory diffuse large B-cell lymphoma not eligible for autologous stem cell transplantation",10.1111/bjh.13195,https://doi.org/10.1111/bjh.13195,review_bibliography,bibliography_reference_number+title_author_search,high,Wiley,British Journal of Haematology,
8,2,Overview of included studies on HRQOL measures,FACT-Lym / JULIET,Maziarz 2020 [19],19,Patient-reported longterm quality of life after tisagenlecleucel in relapsed/refractory diffuse large B-cell lymphoma,Patient-reported longterm quality of life after tisagenlecleucel in relapsed/refractory diffuse large B-cell lymphoma,10.1182/bloodadvances.2019001026,https://doi.org/10.1182/bloodadvances.2019001026,review_bibliography,bibliography_reference_number+title_author_search,high,American Society of Hematology,Blood Advances,
9,2,Overview of included studies on HRQOL measures,FACT-Lym / JULIET,Tam 2019 [67],67,Prolonged improvement in patient reported quality of life (QoL) following tisagenlecleucel infusion in adult patients (pts) with relapsed/refractory (r/r) diffuse 190 F,Prolonged improvement in patient reported quality of life (QoL) following tisagenlecleucel infusion in adult patients (pts) with relapsed/refractory (r/r) diffuse 190 F,10.1016/j.bbmt.2018.12.326,https://doi.org/10.1016/j.bbmt.2018.12.326,review_bibliography,bibliography_reference_number+title_author_search,high,Elsevier BV,Biology of Blood and Marrow Transplantation,
10,2,Overview of included studies on HRQOL measures,FACT-Lym / JULIET,Maziarz 2017 [68],68,Patient-reported quality of life (QoL) following CTL019 infusion in adult patients (pts) with relapsed/refractory (r/r) diffuse large B-cell lymphoma (DLBCL),Patient-reported quality of life (QoL) following CTL019 infusion in adult patients (pts) with relapsed/refractory (r/r) diffuse large B-cell lymphoma (DLBCL),10.1016/j.bbmt.2018.12.326,https://doi.org/10.1016/j.bbmt.2018.12.326,review_bibliography,bibliography_reference_number+title_author_search,high,Elsevier BV,Biology of Blood and Marrow Transplantation,
